In which cranial fossa is the cerebellum located?,Posterior cranial fossa.
The cerebellum is the largest part of which division of the brain?,Hindbrain.
By what structures is the cerebellum attached to the brain stem?,Three peduncles.
Which midline structure joins the two cerebellar hemispheres?,Vermis.
Name the three anatomical lobes of the cerebellum.,"Anterior, Posterior, and Flocculonodular lobes."
How many physiological zones is the cerebellum divided into?,3 zones.
What term describes the thin layer of gray matter covering the white matter of the cerebellum?,Cerebellar cortex.
Which cell type's axons form the only efferent output from the cerebellar cortex?,Purkinje cells.
What is the primary excitatory cell type found within the cerebellar cortex?,Granule cells.
Name the four intracerebellar (deep) nuclei.,"Nucleus fastigius, Globose, Emboliform, and Dentate nucleus."
From which structure are climbing fibers in the cerebellum derived?,Inferior olivary nuclei.
Climbing fibers provide what type of input to the Purkinje cells?,Excitatory input.
Which fibers represent the majority of input to the cerebellum?,Mossy fibers.
Mossy fibers primarily synapse with which two structures in the cerebellum?,Granule cells and deep cerebellar nuclei.
What is the physiological effect of Purkinje cell synapses on the deep cerebellar nuclei?,Inhibition.
What is the core functional takeaway regarding the cerebellum's role in movement?,It does not initiate movement; it perfects it.
The cerebellum is the highest center for the automatic regulation of _____ between agonistic and antagonistic muscles.,Reciprocal innervation
Which evolutionary zone of the cerebellum is responsible for maintaining body equilibrium and posture?,Archicerebellum (Flocculonodular lobe).
What is the specific role of the vestibulocerebellum regarding eye movements?,Governing the vestibulo-ocular reflex (VOR) to maintain visual fixation.
Lesions of the flocculonodular lobe often result in which type of balance deficit?,Trunk ataxia.
The Spinocerebellum (Paleocerebellum) regulates muscle tone via which types of motor neurons?,$\alpha$ and $\gamma$ motor neurons.
Which cerebellar division acts as a 'Comparator' to correct discrepancies between intended and actual movement?,Spinocerebellum.
"In the comparator mechanism, the cerebellum receives info about the 'intended plan' from which two structures?",Cerebral cortex and red nucleus.
Which pathways provide feedback to the cerebellum about actual movement occurring in the periphery?,Spinocerebellar tracts.
What is the purpose of the 'braking effect' exerted by the Cerebro-cerebellum?,To dampen movement and prevent overshooting the intended target.
Which cerebellar zone is primarily concerned with the programming and planning of sequential movements?,Cerebro-cerebellum (Neocerebellum).
List three examples of ballistic movements controlled by the cerebellum.,"Typing, playing piano, and saccadic eye movements."
The primary input for the Neocerebellum (Cerebrocerebellum) comes from which structure?,Cerebral cortex.
Cerebellar disease typically causes motor disorders without the presence of _____ or sensory loss.,Paralysis
What is the physiological cause of hypotonia in cerebellar lesions?,Lack of facilitatory effect on $\gamma$ efferent discharge.
Definition: Dysmetria,"Inability to predict distance, resulting in undershooting or overshooting a target."
Definition: Dysdiadochokinesia,"The inability to perform rapid, alternating movements."
Which clinical sign involves a single smooth movement being broken down into separate components?,Decomposition of movement.
How do intention tremors differ from resting tremors?,They are absent at rest and only appear during voluntary activity.
"What term describes the inability to stop a movement quickly, often tested with the pendular knee jerk?",Rebound phenomenon.
Describe the characteristic gait of a patient with cerebellar ataxia.,"Broad-based, drunken, or staggering gait."
What is the term for slurred or broken speech caused by cerebellar muscle incoordination?,Scanning speech.
"In cerebellar nystagmus, toward which side is the 'slow component' directed?",The side of the lesion.
"In cerebellar nystagmus, toward which side is the 'fast component' directed?",The side opposite to the lesion.
Definition: Asynergia,"Disorder of movement range, direction, and force due to lack of synergy between muscles."
"In cerebellar disease, which direction does the face typically rotate relative to the lesion?",Opposite to the affected side.
Which clinical sign is defined as feebleness or a weak grasp on the affected side?,Asthenia.
The _____ zone of the cerebellar hemisphere is primarily connected to the corticocerebellar afferent pathway.,Lateral
Which deep nucleus is associated with the Archicerebellum (Vestibulocerebellum)?,Nucleus fastigius.
What classic lesion sign is associated with the Paleocerebellum (Anterior lobe)?,Hypotonia.
Which cerebellar zone performs 'predictive functions' for visual scenes and auditory phenomena?,Cerebro-cerebellum.
What is the effect of the deep nuclei's output on the rest of the nervous system?,Excitatory.
What cerebellar cells provide inhibitory control within the cortex besides Purkinje cells?,"Stellate cells, basket cells, and Golgi cells."
Dysgraphia in cerebellar patients refers to impairment in what activity?,Written speech.
The 'intermediate zone' of the cerebellum is most closely associated with which anatomical lobe?,Anterior lobe.
Trunk ataxia results from a failure of which specific cerebellar reflex?,Maintenance of spatial horizon and balance.
The _____ lobe is primarily involved in motion sickness.,Flocculo-nodular
What is the primary function of the cerebellar 'braking effect'?,To stop motions precisely at the intended target.
"In the attitude of cerebellar disease, how is the homologous (ipsilateral) leg positioned?",Adducted and externally rotated.
Where do mossy fibers receive their proprioceptive inputs from?,All parts of the body.
The cerebellum's highly folded white matter is often compared to what tree-like structure?,Arbor vitae (implied by 'Highly folded and fissured white matter').
Which part of the cerebellum is primarily linked to the vestibular system?,Archicerebellum (Flocculonodular lobe).
Which deep nucleus is the largest and most lateral?,Dentate nucleus.
What does the term 'Pendular Knee jerk' indicate in a neurological exam?,Cerebellar hypotonia or inability to dampen muscle oscillations.
How many layers comprise the cerebellar cortex?,"Three (Molecular, Purkinje, and Granule cell layers)."
Climbing fibers form synapses specifically on the _____ of Purkinje cells.,Dendrites
Which structure connects the cerebellum to the medulla oblongata?,Inferior cerebellar peduncle (implied by 'attached to brain stem by three peduncles').
"The primary role of the Neocerebellum is to plan and execute rapid, _____ voluntary movements.",Complex
What phenomenon occurs when the cerebellum fails to predict how far a movement will go?,Dysmetria.
Which cerebellar dysfunction is characterized by a tendency to fall to the affected side?,Asthenia or feebleness.
